tweet, location,sentiment,entities
"When you think of it. If Buhari is this fucked during his first term, you can only imagine how brutal his second term will be.",West Central Africa,-0.100000001,N/A
[News] President Buhari To Leave For London Tomorrow For Medical��Checkup https://t.co/LqQIucUd5v https://t.co/L5hf7eRwe3,Pacific Time (US & Canada),0,N/A
Buhari never cease to amaze me.. https://t.co/HIUXulDfJN,West Central Africa,0.899999976,N/A
"I was saying it on ChannelsTV that Buhari went to see his doctors in the name of Commonwealth conference, they said I was lying. They even queried ChannelTV that they allowed me on their platform. See now",Amsterdam,0,N/A
President Muhammadu Buhari @MBuhari has no iota of integrity. He became President and forgot securing lives and properties of Nigerian citizens is an urgent duty. Politicking is now more important to him https://t.co/nS234OfqEr,London,0,N/A
"Herdsmen entered a church, massacred priests, what President Buhari did was tweet about it, he didn't visit the place. Many people were killed by bandits at Birnin Gwari in Kaduna yesterday.This is Governor of Kaduna yesterday. https://t.co/ceeOCwiOuZ",London,-0.100000001,N/ABREAKING: President Buhari To Embark On Medical Trip To UK Tuesday. https://t.co/dueo48TUWv https://t.co/nll1dCJ9Vm,Not Available,0.0,N/A
"Buhari can travel out for medical care. His son can travel out too.

I am not saying anything o, but I know some will get the message.

I don’t want to talk too much and disappoint my people. I promised to be of good behaviour 🙂🙂",West Central Africa,0.30000001192092896,N/A
"BREAKING: Buhari to embark on Medical Trip to UK on Tuesday.

How far to everyone that said I was lying all along? 

The only reason Buhari is seeking re-election is because of his expensive medical lifestyle. He has nothing to offer.",Not Available,-0.10000000149011612,N/A
"Watch out for these in 2019: Ballot box stuffing, Ballot box snatching, voters intimidation, killings, riots, INEC office razed, INEC officer killed, etc! 
Beware, the signs are dangerous and Buhari has never assured anyone of either a peaceful elections or credible elections!",Not Available,-0.5,N/A
The hate of Igbo by buhari @MBuhari and his kinsmen is not a journey of today #MAGA @realDonaldTrump #SupportBiafraReferendum https://t.co/4yElQ2Hx3P,Not Available,-0.800000011920929,N/A
"They ""summoned"" Buhari but appeared before him

LEVELS https://t.co/BzLKUg1m1I",Not Available,0.0,N/A
RT if you didn't even know Buhari was in Nigeria https://t.co/XhNOs0360z,West Central Africa,-0.30000001192092896,N/A
The death tolls from Saturday onslaught by #Buhari’s #FulaniHerdsmen TERRORISTS in #Kaduna now stands at 45! They attacked Gwaska community from different positions in the early hours and lasted for three Hours. NO ARMY OR POLICE SECURITY! #Nigeria @AsoRock https://t.co/ntfljrFGLS,Not Available,-0.20000000298023224,N/A
Breaking! President Buhari In Emergency Visit To London Doctors - https://t.co/7WY0p9KKfJ,Not Available,0.10000000149011612,N/A
